,name,geom,key,value
416,,POINT (-49.25451 -25.4367563),amenity,bus_station
417,,POINT (-49.2548972 -25.4370912),amenity,bus_station
418,,POINT (-49.2550913 -25.437272),amenity,bus_station
419,,POINT (-49.25474 -25.4370021),amenity,bus_station
420,,POINT (-49.2549048 -25.4362946),amenity,bus_station
421,,POINT (-49.2423805 -25.4257946),amenity,bus_station
422,,POINT (-49.2423262 -25.4259425),amenity,bus_station
423,,POINT (-49.2423492 -25.4259494),amenity,bus_station
424,,POINT (-49.2424035 -25.4258015),amenity,bus_station
425,,POINT (-49.2146094 -25.4522088),amenity,bus_station
426,,POINT (-49.215294 -25.4510459),amenity,bus_station
427,,POINT (-49.2146519 -25.4522222),amenity,bus_station
428,,POINT (-49.2153472 -25.4510626),amenity,bus_station
429,,POINT (-49.2148223 -25.4522728),amenity,bus_station
430,,POINT (-49.2151318 -25.450974),amenity,bus_station
431,,POINT (-49.2148755 -25.4522895),amenity,bus_station
432,,POINT (-49.2150892 -25.4509606),amenity,bus_station
433,,POINT (-49.2151117 -25.4509677),amenity,bus_station
434,,POINT (-49.2146319 -25.4522159),amenity,bus_station
435,,POINT (-49.2148515 -25.452282),amenity,bus_station
436,,POINT (-49.2153232 -25.451055),amenity,bus_station
437,,POINT (-49.2148528 -25.4516996),amenity,bus_station
438,,POINT (-49.2150222 -25.4517527),amenity,bus_station
439,,POINT (-49.2223815 -25.4397543),amenity,bus_station
440,,POINT (-49.2223913 -25.439772),amenity,bus_station
441,,POINT (-49.2222389 -25.4398182),amenity,bus_station
442,,POINT (-49.2222486 -25.4398359),amenity,bus_station
443,,POINT (-49.2210213 -25.4402535),amenity,bus_station
444,,POINT (-49.2210313 -25.440271),amenity,bus_station
445,,POINT (-49.2209279 -25.440297),amenity,bus_station
446,,POINT (-49.220938 -25.4403146),amenity,bus_station
447,,POINT (-49.222256 -25.439622),amenity,bus_station
448,,POINT (-49.2221718 -25.4396599),amenity,bus_station
449,,POINT (-49.2222875 -25.4396791),amenity,bus_station
450,,POINT (-49.2221864 -25.4396864),amenity,bus_station
451,,POINT (-49.2219484 -25.4397677),amenity,bus_station
452,,POINT (-49.22196 -25.4397887),amenity,bus_station
453,,POINT (-49.2218834 -25.4397844),amenity,bus_station
454,,POINT (-49.221889 -25.4397945),amenity,bus_station
455,,POINT (-49.2216227 -25.4399017),amenity,bus_station
456,,POINT (-49.2216383 -25.4399301),amenity,bus_station
457,,POINT (-49.2213215 -25.4400632),amenity,bus_station
458,,POINT (-49.2212688 -25.4400662),amenity,bus_station
459,,POINT (-49.2213255 -25.4400704),amenity,bus_station
460,,POINT (-49.2212779 -25.4400828),amenity,bus_station
461,,POINT (-49.2211465 -25.4400975),amenity,bus_station
462,,POINT (-49.221157 -25.4401165),amenity,bus_station
463,,POINT (-49.2212336 -25.4401281),amenity,bus_station
464,,POINT (-49.2211694 -25.4401347),amenity,bus_station
465,,POINT (-49.2210865 -25.4401519),amenity,bus_station
